,온도,강수,일조,pH,유기물,유효인산,EC
사과,1.111,1.392,0.763,0.938,1.25,1.053,0.615
배,1.17,1.392,0.763,0.781,0.938,1.053,0.615
오이,0.877,0.633,1.059,0.938,0.938,1.053,1.692
감자,0.819,0.949,1.356,1.094,0.938,1.053,0.846
상추,1.023,0.633,1.059,1.25,0.938,0.789,1.231
