,온도,강수,일조,pH,유기물,유효인산,EC
사과,38,22,18,6,4,4,8
배,40,22,18,5,3,4,8
오이,30,10,25,6,3,4,22
감자,28,15,32,7,3,4,11
상추,35,10,25,8,3,3,16
