station,year,crop,data_start,data_end,n_hourly_records,risk,reason,frost_triggered,frost_event_count,frost_worst_datetime,frost_worst_stage,frost_worst_temp,frost_worst_threshold,frost_worst_margin,near_miss_datetime,near_miss_stage,near_miss_margin,heat_triggered,heat_threshold_c,heat_required_days,heat_qualifying_periods,heat_max_consecutive_days
안동,2026,사과,2026-01-01,2026-07-23 00:00:00,4872,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2026-04-08 06:00:00,단단한화총기,-1.5,True,33.0,2,1,4.0
영주,2020,사과,2020-01-01,2020-12-31 23:00:00,8776,높음,"개화기 냉해 위험 — 단단한화총기 단계 한계온도(-2.8℃) 이하 관측(-2.8℃, 2020-04-06 05:00:00)",True,1,2020-04-06 05:00:00,단단한화총기,-2.8,-2.8,0.0,2020-04-06 05:00:00,단단한화총기,0.0,False,33.0,2,0,1.0
영주,2021,사과,2021-01-01,2021-12-31 23:00:00,8754,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2021-04-05 06:00:00,단단한화총기,-2.5,True,33.0,2,2,3.0
영주,2022,사과,2022-01-01,2022-12-31 23:00:00,8754,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2022-04-16 06:00:00,분홍초기,-4.3,True,33.0,2,2,3.0
영주,2023,사과,2023-01-01,2023-12-31 23:00:00,8759,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2023-04-13 05:00:00,개화초기,-2.6,True,33.0,2,1,6.0
영주,2024,사과,2024-01-01,2024-12-31 23:00:00,8781,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2024-04-10 03:00:00,분홍초기,-5.1,True,33.0,2,3,4.0
영주,2025,사과,2025-01-01,2025-12-31 23:00:00,8760,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2025-04-14 06:00:00,분홍초기,-2.9,True,33.0,2,3,10.0
영주,2026,사과,2026-01-01,2026-07-23 00:00:00,4869,낮음,위험 기준 미충족,False,0,,,,,,2026-04-08 06:00:00,단단한화총기,-2.7,False,33.0,2,0,
천안,2020,배,2020-01-01,2020-12-31 23:00:00,8783,높음,"개화기 냉해 위험 — 개화직전 단계 한계온도(-1.9℃) 이하 관측(-2.4℃, 2020-04-06 06:00:00)",True,3,2020-04-06 06:00:00,개화직전,-2.4,-1.9,0.5,2020-04-06 06:00:00,개화직전,0.5,False,33.0,2,0,1.0
천안,2021,배,2021-01-01,2021-12-31 23:00:00,8745,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2021-03-23 05:00:00,꽃봉오리_연분홍,-1.2,True,33.0,2,2,9.0
천안,2022,배,2022-01-01,2022-12-31 23:00:00,8757,낮음,위험 기준 미충족,False,0,,,,,,2022-03-28 06:00:00,꽃봉오리_연분홍,-0.5,False,33.0,2,0,1.0
천안,2023,배,2023-01-01,2023-12-31 23:00:00,8758,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2023-04-08 06:00:00,만개_낙화_낙화10일후유과기,-0.5,True,33.0,2,2,8.0
천안,2024,배,2024-01-01,2024-12-31 23:00:00,8776,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2024-03-21 07:00:00,꽃봉오리_화총내,-0.2,True,33.0,2,2,10.0
천안,2025,배,2025-01-01,2025-12-31 23:00:00,8726,높음,"개화기 냉해 위험 — 꽃봉오리_연분홍 단계 한계온도(-2.8℃) 이하 관측(-4.1℃, 2025-03-30 06:00:00)",True,3,2025-03-30 06:00:00,꽃봉오리_연분홍,-4.1,-2.8,1.3,2025-03-30 06:00:00,꽃봉오리_연분홍,1.3,True,33.0,2,2,10.0
천안,2026,배,2026-01-01,2026-07-23 00:00:00,4873,낮음,위험 기준 미충족,False,0,,,,,,2026-04-08 06:00:00,개화직전,-0.8,False,33.0,2,0,1.0
